Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T5 - AM - Tiet 4,GV1076 - Van,GV1046 - CN,GV1022 - Anh,GV1058 - Dia,GV1029 - Anh,GV1071 - Tin,GV1064 - TD,,GV1049 - Sinh,GV1030 - Anh,GV1013 - Van,GVNN03 - AVNN,GV1065 - TD,GV1027 - Anh,GV1010 - Toan,GV1025 - Anh,GV1017 - Van,GV1007 - Toan,GV1009 - Toan,GV1021 - Van,GV1061 - GDCD,GV1042 - Hoa,GV1006 - Toan,GV1018 - Van,GV1043 - Hoa,GV1001 - Toan,GV1056 - Dia,GV1057 - Dia,GV1033 - CN,GV1067 - QP,GV1003 - Toan,GV1059 - GDCD,GV1012 - Van
T5 - AM - Tiet 5,GV1024 - Anh,GV1058 - Dia,GV1033 - Ly,,,GV1036 - Ly,GV1010 - Toan,GV1057 - Dia,GV1053 - Su,,GV1008 - Toan,GV1030 - Anh,GV1066 - QP,GV1020 - Van,GV1044 - Hoa,GV1006 - Toan,GV1073 - CN,GV1007 - Toan,GV1063 - TD,GV1021 - Van,GV1018 - Van,GV1056 - Dia,GV1025 - Anh,GV1048 - Sinh,GV1038 - Ly,GV1001 - Toan,GV1015 - Van,GV1045 - Sinh,GV1052 - Su,GV1035 - Ly,GV1029 - Anh,GV1011 - Van,GV1012 - Van
T5 - PM - Tiet 1,GV1036 - Ly,GV1031 - Anh,GV1003 - Toan,GV1039 - Hoa,GV1001 - Toan,GV1011 - Van,GV1064 - TD,,GV1032 - Ly,GV1061 - GDCD,GV1013 - Van,GV1042 - Hoa,GV1040 - Hoa,GV1020 - Van,GV1015 - Van,GV1025 - Anh,GV1017 - Van,GV1044 - Hoa,GV1037 - Ly,GV1066 - QP,GV1035 - Ly,GV1007 - Toan,GV1006 - Toan,GV1004 - Toan,GV1068 - Tin,GV1057 - Dia,GV1047 - Sinh,GV1018 - Van,GV1012 - Van,GV1019 - Van,GV1029 - Anh,GV1071 - Tin,GV1067 - QP
T5 - PM - Tiet 2,GV1039 - Hoa,,GV1069 - Tin,GV1067 - QP,,GV1062 - TD,GV1057 - Dia,GV1041 - Hoa,GV1008 - Toan,GV1058 - SHL,GV1028 - Anh,GV1018 - Van,GV1017 - Van,GV1056 - Dia,GV1015 - Van,GV1021 - Van,GV1010 - Toan,GV1016 - Van,GV1020 - Van,GV1006 - Toan,GV1009 - Toan,GV1077 - Ly,GV1063 - TD,GV1052 - Su,GV1029 - Anh,GV1001 - Toan,GV1064 - TD,GV1007 - Toan,GV1003 - Toan,GV1043 - Hoa,GV1071 - Tin,GV1011 - Van,GV1045 - Sinh
T5 - PM - Tiet 3,GV1076 - Van,GV1069 - Tin,GV1062 - TD,GV1013 - SHL,GV1012 - Van,GV1058 - Dia,GV1051 - Su,GVNN02 - AVNN,GV1071 - Tin,GV1019 - Van,GV1008 - Toan,GV1042 - Hoa,GV1005 - Toan,GV1041 - Hoa,GV1026 - Anh,GV1021 - Van,GV1031 - Anh,GV1030 - Anh,GV1020 - Van,GV1034 - Ly,GV1009 - Toan,GV1007 - Toan,GV1006 - Toan,GV1004 - Toan,GV1066 - QP,GV1001 - Toan,GV1035 - Ly,GV1018 - Van,GV1003 - Toan,GV1052 - Su,GV1067 - QP,GV1040 - Hoa,GV1037 - Ly
T5 - PM - Tiet 4,GV1046 - CN,GV1034 - Ly,GV1033 - Ly,GV1069 - Tin,GVNN02 - AVNN,GV1002 - Toan,,GV1030 - Anh,GV1011 - Van,GV1071 - Tin,GV1008 - Toan,GV1074 - Tin,GV1017 - Van,GV1070 - Tin,GV1010 - Toan,GV1021 - Van,GV1041 - Hoa,GV1007 - Toan,GV1024 - Anh,GV1063 - TD,GV1018 - Van,GV1077 - Ly,GV1016 - Van,GV1048 - Sinh,GV1029 - Anh,GV1066 - QP,GV1005 - Toan,GV1022 - Anh,GV1003 - Toan,GV1043 - Hoa,GV1032 - Ly,GV1004 - Toan,GV1001 - Toan
T5 - PM - Tiet 5,GV1076 - Van,,GV1049 - Sinh,GV1023 - Anh,GV1029 - Anh,GVNN03 - AVNN,GV1071 - Tin,GV1030 - Anh,GV1026 - Anh,,GV1013 - Van,GV1004 - Toan,GV1005 - Toan,GV1020 - Van,GV1015 - Van,GV1021 - Van,GV1010 - Toan,GV1016 - Van,GV1056 - Dia,GV1063 - TD,GV1009 - Toan,GV1066 - QP,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1019 - Van,GV1035 - Ly,GV1040 - Hoa,GV1003 - Toan,GV1043 - Hoa,GV1048 - Sinh,GV1051 - Su,GV1067 - QP
T6 - AM - Tiet 1,GV1053 - Su,GV1031 - Anh,GV1017 - Van,GV1023 - Anh,GV1069 - Tin,GV1002 - Toan,GV1057 - Dia,GV1021 - Van,GV1026 - Anh,,GV1013 - Van,GV1030 - Anh,GV1050 - Su,GV1020 - Van,GV1066 - QP,GV1042 - Hoa,GV1010 - Toan,GV1016 - Van,GVNN01 - AVNN,GV1040 - Hoa,GV1073 - CN,GV1007 - Toan,GV1006 - Toan,GV1018 - Van,GV1048 - Sinh,GV1037 - Ly,GV1005 - Toan,GV1022 - Anh,GV1012 - Van,GV1043 - Hoa,GV1032 - Ly,GV1004 - Toan,GV1001 - Toan
T6 - AM - Tiet 2,GV1003 - Toan,GV1016 - Van,GV1069 - Tin,GV1009 - Toan,GV1059 - GDCD,GV1062 - TD,GV1032 - Ly,GV1041 - Hoa,GV1058 - Dia,GV1030 - Anh,GV1074 - Tin,GV1004 - Toan,GV1005 - Toan,GV1035 - Ly,GV1010 - Toan,GV1021 - Van,GV1017 - Van,GV1007 - Toan,GV1020 - Van,GV1060 - GDCD,GV1026 - Anh,GV1013 - Van,GV1025 - Anh,GV1023 - Anh,GV1011 - Van,GV1042 - Hoa,GV1039 - Hoa,GV1045 - Sinh,GV1047 - Sinh,GV1065 - TD,GV1015 - Van,GV1067 - QP,GV1001 - Toan
T6 - AM - Tiet 3,GV1057 - Dia,GV1041 - Hoa,GV1022 - Anh,GV1069 - Tin,GV1062 - TD,GV1071 - Tin,GV1024 - Anh,,GV1064 - TD,GV1019 - Van,GV1008 - Toan,GV1037 - Ly,GV1005 - Toan,GV1002 - Toan,GV1010 - Toan,GV1006 - Toan,GV1017 - Van,GV1034 - Ly,GV1048 - Sinh,GV1040 - Hoa,GV1018 - Van,GV1013 - Van,GV1016 - Van,GV1068 - Tin,GV1051 - Su,GV1045 - Sinh,GV1035 - Ly,GV1007 - Toan,GV1033 - Ly,GV1052 - Su,GV1015 - Van,GV1067 - QP,GV1023 - Anh
T6 - AM - Tiet 4,GV1076 - Van,GVNN02 - AVNN,GV1049 - SHL,,GV1001 - Toan,GV1027 - Anh,GV1024 - Anh,GV1034 - Ly,GV1011 - Van,GV1033 - Ly,GV1013 - Van,GV1018 - Van,GV1005 - Toan,GV1065 - TD,GV1037 - Ly,GV1047 - Sinh,GV1070 - Tin,GVNN03 - AVNN,GV1020 - Van,GV1031 - Anh,GV1009 - Toan,GV1007 - Toan,GV1016 - Van,GV1066 - QP,GV1048 - Sinh,GV1042 - Hoa,GV1051 - Su,GV1067 - QP,GV1003 - Toan,GV1035 - Ly,GV1032 - Ly,GV1004 - Toan,GV1052 - Su
T6 - AM - Tiet 5,GV1039 - Hoa,,GV1003 - Toan,,GV1012 - Van,GV1058 - Dia,GV1020 - Van,GV1021 - SHL,GV1071 - Tin,GVNN01 - AVNN,GV1040 - Hoa,GV1030 - Anh,GV1026 - Anh,GV1041 - Hoa,GV1015 - Van,GV1042 - Hoa,GVNN02 - AVNN,GV1044 - Hoa,GV1037 - Ly,GV1049 - Sinh,GV1045 - Sinh,GV1068 - Tin,GV1006 - Toan,GV1048 - Sinh,GV1064 - TD,GV1001 - Toan,GV1051 - Su,GV1007 - Toan,GV1025 - Anh,GV1035 - CN,GV1067 - QP,GV1004 - Toan,GV1052 - Su
T6 - PM - Tiet 1,GV1036 - Ly,,GV1053 - Su,GV1033 - Ly,GV1046 - CN,GV1002 - Toan,GVNN01 - AVNN,GV1057 - Dia,GV1011 - Van,GV1010 - Toan,GV1008 - Toan,GV1065 - TD,GV1017 - Van,GV1035 - Ly,GV1044 - Hoa,GV1021 - Van,GV1038 - Ly,GV1030 - Anh,GV1009 - Toan,GVNN02 - AVNN,GV1018 - Van,GV1013 - Van,GV1006 - Toan,GV1004 - Toan,GV1007 - Toan,GV1068 - Tin,GV1047 - Sinh,GV1064 - TD,GV1052 - Su,GV1005 - Toan,GV1015 - Van,GV1022 - Anh,GV1037 - Ly
T6 - PM - Tiet 2,GV1069 - Tin,GV1067 - QP,,GV1046 - CN,GV1053 - Su,GV1011 - Van,GV1010 - Toan,GV1002 - Toan,GV1044 - Hoa,GV1039 - Hoa,GV1034 - Ly,GV1056 - Dia,GV1005 - Toan,GV1020 - Van,GV1037 - Ly,GV1006 - Toan,GV1017 - Van,GV1007 - Toan,GV1024 - Anh,GV1031 - Anh,GV1009 - Toan,GV1063 - TD,GV1016 - Van,GV1066 - QP,GV1051 - Su,GV1019 - Van,GV1028 - Anh,GV1052 - Su,GV1025 - Anh,GV1035 - Ly,GV1003 - Toan,GV1004 - Toan,GV1023 - Anh
T6 - PM - Tiet 3,GV1036 - Ly,GV1041 - Hoa,,GV1039 - Hoa,GV1029 - Anh,GV1044 - Hoa,GV1059 - GDCD,,GV1011 - Van,GV1058 - Dia,GV1040 - SHL,GV1004 - Toan,GV1038 - Ly,GV1027 - Anh,GV1073 - CN,GV1056 - Dia,GV1060 - GDCD,GV1066 - QP,GV1009 - Toan,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1077 - Ly,GV1068 - Tin,GV1043 - Hoa,GV1042 - Hoa,GV1067 - QP,GV1045 - Sinh,GV1071 - Tin,GV1005 - Toan,GV1003 - Toan,GV1047 - Sinh,GV1001 - Toan
T6 - PM - Tiet 4,GV1024 - Anh,GV1016 - Van,GV1043 - Hoa,GV1023 - Anh,GV1032 - Ly,GV1011 - Van,GV1044 - Hoa,GV1071 - Tin,GV1067 - QP,GV1064 - TD,GV1034 - Ly,GV1037 - Ly,GV1017 - Van,GV1020 - Van,GV1050 - Su,GV1054 - Su,GV1065 - TD,GV1030 - Anh,GV1009 - Toan,GVNN02 - AVNN,GV1018 - Van,GV1013 - Van,GV1025 - Anh,GV1033 - Ly,GV1029 - Anh,GV1051 - Su,GV1015 - Van,GV1007 - Toan,GV1052 - Su,GV1019 - Van,GV1003 - Toan,GV1004 - Toan,GV1001 - Toan
T6 - PM - Tiet 5,GVNN01 - AVNN,GV1041 - Hoa,GV1017 - Van,GV1009 - Toan,GV1062 - TD,GV1071 - Tin,GV1057 - Dia,GV1021 - Van,GV1011 - Van,GV1046 - CN,GV1060 - GDCD,GV1037 - Ly,GV1070 - Tin,GV1027 - Anh,GV1010 - Toan,GV1006 - Toan,GV1045 - Sinh,GV1044 - Hoa,GV1020 - Van,GV1031 - Anh,GV1035 - SHL,GV1007 - Toan,GV1058 - Dia,GV1023 - Anh,GV1068 - Tin,GV1025 - Anh,GV1005 - Toan,GV1022 - Anh,GV1012 - Van,GV1028 - Anh,GV1029 - Anh,GV1004 - Toan,GV1052 - Su
