Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T3 - AM - Tiet 1,,GV1031 - Anh,GV1022 - Anh,GV1069 - Tin,,GV1027 - Anh,,GV1030 - Anh,,GV1039 - Hoa,GV1008 - Toan,GV1018 - Van,GV1026 - Anh,GV1041 - Hoa,GV1049 - Sinh,GVNN01 - AVNN,GV1056 - Dia,GV1007 - Toan,GV1070 - Tin,GV1021 - Van,GV1035 - Ly,GV1042 - Hoa,GV1016 - Van,GV1004 - Toan,GV1043 - Hoa,GV1019 - Van,GV1068 - Tin,GV1067 - QP,GV1047 - Sinh,GV1005 - Toan,GV1048 - Sinh,GV1038 - Ly,GV1071 - Tin
T3 - AM - Tiet 2,GV1067 - QP,GV1016 - Van,GV1033 - Ly,GV1039 - Hoa,GV1029 - Anh,GV1036 - Ly,,GV1002 - Toan,GV1064 - TD,GV1049 - Sinh,GV1065 - TD,GV1004 - Toan,GV1005 - Toan,GV1020 - Van,GV1044 - Hoa,GV1025 - Anh,GV1031 - Anh,GV1007 - Toan,GV1063 - TD,GV1006 - Toan,GV1009 - Toan,GV1060 - GDCD,GV1077 - Ly,GV1018 - Van,GV1011 - Van,GV1051 - Su,GV1015 - Van,GV1071 - Tin,GV1003 - Toan,GV1028 - Anh,GV1048 - Sinh,GV1022 - Anh,GV1052 - Su
T3 - AM - Tiet 3,GV1039 - Hoa,GV1046 - Sinh,GV1043 - Hoa,GV1058 - Dia,GV1012 - Van,,,GV1002 - Toan,GV1008 - Toan,GVNN01 - AVNN,GV1066 - QP,GV1018 - Van,GV1017 - Van,GV1020 - Van,GV1010 - Toan,GV1035 - Ly,GV1041 - Hoa,GV1060 - GDCD,GV1009 - Toan,GV1034 - Ly,GV1026 - Anh,GV1013 - Van,GV1068 - Tin,GV1004 - Toan,GV1007 - Toan,GV1025 - Anh,GV1047 - Sinh,GV1067 - QP,GV1003 - Toan,GV1019 - Van,GV1029 - Anh,GV1038 - Ly,GV1045 - Sinh
T3 - AM - Tiet 4,GV1003 - Toan,GV1058 - Dia,,GV1013 - Van,GV1069 - Tin,GV1071 - Tin,GV1010 - Toan,GV1064 - TD,GV1044 - Hoa,GV1030 - Anh,GV1008 - Toan,GV1004 - Toan,GV1017 - Van,GV1002 - Toan,GV1015 - Van,GV1065 - TD,GV1031 - Anh,GV1034 - Ly,GV1041 - Hoa,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1016 - Van,GV1057 - Dia,GV1056 - Dia,GV1001 - Toan,GV1067 - QP,GV1018 - Van,GV1033 - Ly,GV1035 - Ly,GV1063 - TD,GV1047 - Sinh,GV1023 - Anh
T3 - AM - Tiet 5,GV1062 - TD,GV1016 - Van,,,GV1043 - Hoa,,GV1020 - Van,GV1071 - Tin,GV1008 - Toan,GV1010 - Toan,GV1013 - Van,GV1018 - Van,GV1005 - Toan,GV1066 - QP,GV1026 - Anh,GV1021 - Van,GV1053 - Su,GV1007 - Toan,GV1009 - Toan,GV1070 - Tin,GVNN03 - AVNN,GV1027 - Anh,GV1006 - Toan,GV1023 - Anh,GV1029 - Anh,GV1037 - Ly,GV1067 - QP,GV1040 - Hoa,GV1033 - Ly,GV1057 - Dia,GV1032 - Ly,GV1051 - Su,GV1001 - Toan
T3 - PM - Tiet 1,GV1057 - Dia,GVNN02 - AVNN,GVNN03 - AVNN,GV1058 - Dia,,GV1049 - Sinh,GV1032 - Ly,GV1021 - Van,GV1059 - GDCD,GV1071 - Tin,GV1040 - Hoa,GV1061 - GDCD,GVNN01 - AVNN,GV1002 - Toan,GV1044 - Hoa,GV1025 - Anh,GV1010 - Toan,GV1030 - Anh,GV1009 - Toan,GV1006 - Toan,GV1026 - Anh,GV1007 - Toan,GV1041 - Hoa,GV1066 - QP,GV1011 - Van,GV1064 - TD,GV1039 - Hoa,GV1018 - Van,GV1067 - QP,GV1005 - Toan,GV1003 - Toan,GV1004 - Toan,GV1001 - Toan
T3 - PM - Tiet 2,GV1046 - Sinh,GV1041 - Hoa,GV1057 - Dia,GV1023 - Anh,GV1043 - SHL,GV1058 - Dia,GV1020 - Van,GV1002 - Toan,GV1071 - Tin,GV1019 - Van,GV1013 - Van,GV1018 - Van,GV1017 - Van,GV1035 - Ly,GV1070 - Tin,GV1006 - Toan,GV1010 - Toan,GV1007 - Toan,GV1024 - Anh,GV1040 - Hoa,GV1009 - Toan,GV1042 - Hoa,GV1050 - Su,GV1004 - Toan,GV1038 - Ly,GV1037 - Ly,GV1005 - Toan,GV1032 - Ly,GV1003 - Toan,GV1067 - QP,GV1060 - GDCD,GV1022 - Anh,GV1012 - Van
T3 - PM - Tiet 3,GV1076 - Van,GV1016 - Van,GV1069 - Tin,GV1009 - Toan,GV1057 - Dia,GV1044 - Hoa,GV1010 - Toan,GV1021 - Van,GV1008 - Toan,GV1054 - Su,GV1028 - Anh,GV1042 - Hoa,GV1017 - Van,GV1020 - Van,GV1065 - TD,GV1006 - Toan,GV1041 - Hoa,GV1030 - Anh,GV1037 - Ly,GV1034 - Ly,GV1026 - Anh,GV1013 - Van,GV1060 - GDCD,GV1048 - Sinh,GV1051 - Su,GV1025 - Anh,GV1015 - Van,GV1007 - Toan,GV1052 - Su,GV1045 - Sinh,GV1003 - Toan,GV1011 - Van,GV1012 - Van
T3 - PM - Tiet 4,GV1069 - Tin,GV1031 - Anh,GV1043 - Hoa,GV1013 - Van,GV1057 - Dia,,GV1067 - QP,GV1002 - Toan,GV1026 - Anh,GV1019 - Van,GV1008 - Toan,GV1018 - Van,GV1017 - Van,GVNN02 - AVNN,GV1010 - Toan,GV1070 - Tin,GV1066 - QP,GV1073 - CN,GV1024 - Anh,GV1021 - Van,GV1068 - Tin,GV1027 - Anh,GV1006 - Toan,GV1052 - Su,GV1029 - Anh,GV1025 - Anh,GV1005 - Toan,GV1007 - Toan,GV1065 - TD,GV1028 - Anh,GV1051 - Su,GV1022 - Anh,GV1045 - Sinh
T3 - PM - Tiet 5,GV1003 - Toan,GV1034 - SHL,GV1061 - GDCD,,GV1032 - Ly,GV1067 - QP,,GV1002 - Toan,GV1026 - Anh,GV1030 - Anh,GV1013 - Van,GV1004 - Toan,GV1040 - Hoa,GV1050 - Su,GV1015 - Van,GV1065 - TD,GV1031 - Anh,GV1016 - Van,GVNN01 - AVNN,GV1006 - Toan,GV1009 - Toan,GV1027 - Anh,GV1025 - Anh,GV1066 - QP,GV1007 - Toan,GV1042 - Hoa,GV1028 - Anh,GV1052 - Su,GV1012 - Van,GV1005 - Toan,GV1071 - Tin,GV1011 - Van,GV1037 - Ly
