Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T5 - AM - Tiet 4,GV1069 - Tin,GV1008 - Toan,GV1017 - Van,GV1009 - Toan,GV1012 - Van,GV1049 - Sinh,GV1032 - Ly,,GV1044 - Hoa,,GV1040 - Hoa,GV1030 - Anh,GV1038 - Ly,GV1065 - TD,GV1010 - Toan,GV1047 - Sinh,GV1031 - Anh,GV1016 - Van,GV1020 - Van,GV1006 - Toan,GV1035 - Ly,GV1013 - Van,GV1063 - TD,GV1004 - Toan,GV1043 - Hoa,GV1037 - Ly,GV1039 - Hoa,GV1007 - Toan,GV1052 - Su,GV1005 - Toan,GV1042 - Hoa,GV1067 - QP,GV1001 - Toan
T5 - AM - Tiet 5,GV1024 - Anh,GV1031 - Anh,GV1049 - Sinh,GV1033 - Ly,GV1032 - Ly,GVNN03 - AVNN,GV1057 - Dia,GV1034 - Ly,GV1008 - Toan,GV1061 - GDCD,GV1013 - Van,GV1004 - Toan,GV1005 - Toan,GV1002 - Toan,GV1037 - Ly,GV1065 - TD,GV1041 - Hoa,GV1063 - TD,GV1020 - Van,GV1040 - Hoa,GV1009 - Toan,GV1053 - SHL,GV1006 - Toan,GV1018 - Van,GV1066 - QP,GV1025 - Anh,GV1051 - Su,GV1052 - Su,GV1071 - Tin,GV1035 - Ly,GV1029 - Anh,GV1022 - Anh,GV1001 - Toan
T5 - PM - Tiet 1,GV1024 - Anh,GV1041 - Hoa,GV1069 - Tin,GV1013 - Van,GV1032 - Ly,,GV1020 - Van,GV1030 - Anh,GV1071 - Tin,GV1039 - Hoa,GV1008 - Toan,GV1004 - Toan,GV1040 - Hoa,GV1002 - Toan,GVNN03 - AVNN,GV1070 - Tin,GV1017 - Van,GV1034 - Ly,GV1009 - Toan,GV1066 - QP,GV1035 - Ly,GV1027 - Anh,GV1025 - Anh,GV1048 - Sinh,GV1007 - Toan,GV1001 - Toan,GV1051 - Su,GV1067 - QP,GV1033 - Ly,GV1028 - Anh,GV1003 - Toan,GV1047 - Sinh,GV1045 - Sinh
T5 - PM - Tiet 2,GV1024 - Anh,GV1069 - Tin,GV1022 - Anh,,GV1001 - Toan,GV1027 - Anh,GV1071 - Tin,GV1057 - Dia,GV1008 - SHL,GV1033 - Ly,GV1056 - Dia,GV1018 - Van,GV1065 - TD,GV1020 - Van,GV1026 - Anh,GV1060 - GDCD,GV1017 - Van,GV1034 - Ly,GV1041 - Hoa,GV1070 - Tin,GV1044 - Hoa,GV1007 - Toan,GV1006 - Toan,GV1023 - Anh,GV1029 - Anh,GV1064 - TD,GV1005 - Toan,GV1040 - Hoa,GV1042 - Hoa,GV1035 - Ly,GV1048 - Sinh,GV1004 - Toan,GV1063 - TD
T5 - PM - Tiet 3,GV1076 - Van,GV1067 - QP,GV1069 - Tin,GV1046 - Sinh,GV1062 - TD,GV1044 - Hoa,GV1071 - Tin,GV1057 - Dia,GVNN03 - AVNN,GV1058 - Dia,GV1034 - Ly,GV1018 - Van,GV1038 - Ly,GV1020 - Van,GV1026 - Anh,GV1006 - Toan,GV1017 - Van,GV1007 - Toan,GV1048 - Sinh,GV1021 - Van,GV1054 - Su,GV1013 - Van,GV1041 - Hoa,GV1033 - Ly,GV1029 - Anh,GV1037 - Ly,GV1015 - Van,GV1045 - Sinh,GV1047 - Sinh,GV1005 - Toan,GV1032 - Ly,GV1004 - Toan,GV1001 - Toan
T5 - PM - Tiet 4,GV1046 - CN,GV1041 - Hoa,,GV1058 - Dia,GVNN02 - AVNN,GV1002 - Toan,GV1010 - Toan,GV1071 - Tin,GV1032 - Ly,GV1030 - Anh,GV1040 - Hoa,GV1066 - QP,GV1048 - Sinh,GV1027 - Anh,GV1044 - Hoa,GV1025 - Anh,GV1038 - Ly,GV1016 - Van,GV1024 - Anh,GV1021 - Van,GV1018 - Van,GV1013 - Van,GV1006 - SHL,GV1052 - Su,GV1043 - Hoa,GV1019 - Van,GV1005 - Toan,GV1007 - Toan,GV1003 - Toan,GV1057 - Dia,GV1029 - Anh,GV1022 - Anh,GV1067 - QP
T5 - PM - Tiet 5,GV1003 - Toan,GV1041 - Hoa,,GV1069 - Tin,GV1012 - Van,GV1058 - Dia,GV1010 - Toan,GV1002 - Toan,GV1032 - Ly,GV1054 - Su,GV1013 - Van,GV1018 - Van,GV1005 - Toan,GV1073 - CN,GV1037 - Ly,GV1035 - Ly,GV1017 - Van,GV1034 - Ly,GV1009 - Toan,GV1031 - Anh,GV1026 - Anh,GV1042 - Hoa,GV1016 - Van,GV1039 - Hoa,GV1011 - Van,GV1068 - Tin,GV1015 - Van,GV1007 - Toan,GV1052 - Su,GV1043 - Hoa,GV1071 - Tin,GV1038 - Ly,GV1001 - Toan
T6 - AM - Tiet 1,GV1062 - TD,GV1069 - Tin,GV1017 - Van,GV1039 - Hoa,GV1043 - Hoa,GV1011 - Van,,GV1067 - QP,GV1008 - Toan,GV1030 - Anh,GV1013 - Van,GV1004 - Toan,GV1070 - Tin,GV1020 - Van,GV1026 - Anh,GV1065 - TD,GV1010 - Toan,GV1056 - Dia,GV1037 - Ly,GV1021 - Van,GVNN03 - AVNN,GV1077 - Ly,GV1016 - Van,GV1033 - CN,GV1029 - Anh,GV1001 - Toan,GV1035 - CN,GV1007 - Toan,GV1042 - Hoa,GV1005 - Toan,GV1051 - Su,GV1040 - Hoa,GV1012 - Van
T6 - AM - Tiet 2,GV1024 - Anh,,GV1017 - Van,GV1039 - Hoa,GV1029 - Anh,GV1071 - Tin,GV1032 - Ly,,GV1008 - Toan,GV1058 - Dia,GV1065 - TD,GV1037 - Ly,GV1005 - Toan,GV1041 - Hoa,GV1015 - Van,GV1006 - Toan,GV1010 - Toan,GV1007 - Toan,GV1020 - Van,GV1040 - Hoa,GV1026 - Anh,GV1013 - Van,GV1077 - Ly,GV1023 - Anh,GV1011 - Van,GV1025 - Anh,GV1028 - Anh,GV1057 - Dia,GV1003 - Toan,GV1043 - Hoa,GV1051 - Su,GV1004 - Toan,GV1001 - Toan
T6 - AM - Tiet 3,GV1003 - Toan,GV1008 - Toan,GV1053 - Su,GV1039 - Hoa,GV1029 - Anh,GVNN03 - AVNN,GV1010 - Toan,GV1041 - Hoa,,GV1033 - Ly,GV1013 - Van,GV1065 - TD,GV1005 - Toan,GV1002 - Toan,GV1026 - Anh,GV1006 - Toan,GV1017 - Van,GV1044 - Hoa,GV1009 - Toan,GV1031 - Anh,GV1035 - SHL,GV1007 - Toan,GV1077 - Ly,GV1004 - Toan,GV1066 - QP,GV1068 - Tin,GV1047 - Sinh,GV1052 - Su,GV1025 - Anh,GV1045 - Sinh,GV1015 - Van,GV1011 - Van,GV1037 - Ly
T6 - AM - Tiet 4,GV1039 - Hoa,GV1062 - TD,GV1003 - Toan,GV1013 - Van,GV1069 - Tin,GV1044 - Hoa,GVNN01 - AVNN,GVNN02 - AVNN,GV1026 - Anh,GV1071 - Tin,GV1028 - Anh,GVNN03 - AVNN,GV1017 - Van,GV1020 - Van,GV1010 - Toan,GV1066 - QP,GV1031 - Anh,GV1030 - Anh,GV1009 - Toan,GV1006 - Toan,GV1073 - CN,GV1042 - Hoa,GV1058 - Dia,GV1057 - Dia,GV1007 - Toan,GV1001 - Toan,GV1005 - Toan,GV1032 - Ly,GV1033 - Ly,GV1019 - Van,GV1067 - QP,GV1022 - Anh,GV1012 - Van
T6 - AM - Tiet 5,GV1076 - Van,GV1034 - Ly,GV1033 - Ly,GV1023 - Anh,GV1001 - Toan,GV1058 - Dia,GV1020 - Van,GV1021 - Van,GV1032 - Ly,GV1010 - Toan,GV1008 - Toan,GV1004 - Toan,GV1005 - Toan,GV1035 - Ly,GV1061 - GDCD,GV1006 - Toan,GV1038 - Ly,GV1007 - Toan,GV1041 - Hoa,GV1040 - Hoa,GV1009 - Toan,GV1013 - Van,GVNN02 - AVNN,GV1052 - Su,GV1048 - Sinh,GV1042 - Hoa,GV1047 - Sinh,GV1018 - Van,GV1012 - Van,GV1067 - QP,GV1015 - Van,GV1051 - Su,GV1037 - Ly
T6 - PM - Tiet 1,GVNN01 - AVNN,GVNN02 - AVNN,GV1049 - SHL,GV1023 - Anh,GV1029 - Anh,GV1071 - Tin,GV1020 - Van,,GV1011 - Van,GV1010 - Toan,GV1008 - Toan,GV1061 - GDCD,GV1040 - Hoa,GV1027 - Anh,GV1037 - Ly,GV1006 - Toan,GV1073 - CN,GV1016 - Van,GV1063 - TD,GV1021 - Van,GV1026 - Anh,GV1007 - Toan,GV1041 - Hoa,GV1068 - Tin,GV1048 - Sinh,GV1025 - Anh,GV1028 - Anh,GV1018 - Van,GV1003 - Toan,GV1005 - Toan,GV1042 - Hoa,GV1004 - Toan,GV1067 - QP
T6 - PM - Tiet 2,GV1024 - SHL,GV1034 - Ly,GV1069 - Tin,GV1023 - Anh,GV1057 - Dia,GV1011 - Van,GV1044 - Hoa,GV1064 - TD,GV1026 - Anh,GV1019 - Van,GVNN02 - AVNN,GV1030 - Anh,GV1017 - Van,GV1056 - Dia,GV1010 - Toan,GV1042 - Hoa,GV1041 - Hoa,GV1073 - CN,GV1070 - Tin,GV1021 - Van,GV1009 - Toan,GV1013 - Van,GV1016 - Van,GV1048 - Sinh,GV1043 - Hoa,GV1001 - Toan,GV1028 - Anh,GV1040 - Hoa,GV1003 - Toan,GV1071 - Tin,GV1032 - Ly,GV1051 - Su,GV1067 - QP
T6 - PM - Tiet 3,GV1036 - Ly,GV1016 - Van,GV1046 - CN,GV1009 - Toan,GV1029 - Anh,GV1071 - Tin,GV1024 - Anh,GV1049 - Sinh,GV1058 - Dia,,GV1013 - Van,GV1018 - Van,GV1066 - QP,GV1035 - Ly,GV1010 - Toan,GV1025 - Anh,GV1045 - Sinh,GV1030 - Anh,GVNN01 - AVNN,GV1073 - CN,GV1044 - Hoa,GV1007 - Toan,GV1006 - Toan,GV1023 - Anh,GV1051 - Su,GV1019 - Van,GV1005 - Toan,GV1064 - TD,GV1012 - Van,GV1052 - Su,GV1003 - Toan,GV1022 - Anh,GV1043 - Hoa
T6 - PM - Tiet 4,GV1057 - Dia,GV1034 - Ly,,GV1062 - TD,,,GV1024 - Anh,,GV1058 - Dia,GV1067 - QP,GV1008 - Toan,GV1030 - Anh,GV1026 - Anh,GV1002 - Toan,GV1015 - Van,GV1021 - Van,GV1017 - Van,GV1016 - Van,GV1020 - Van,GV1031 - SHL,GV1009 - Toan,GV1042 - Hoa,GV1041 - Hoa,GV1023 - Anh,GV1007 - Toan,GV1025 - Anh,GV1005 - Toan,GV1018 - Van,GV1033 - Ly,GV1019 - Van,GV1003 - Toan,GV1004 - Toan,GV1071 - Tin
T6 - PM - Tiet 5,GV1024 - Anh,GV1062 - TD,GVNN03 - AVNN,,GV1001 - Toan,GV1044 - Hoa,GV1057 - Dia,GV1030 - Anh,GV1071 - Tin,GV1058 - SHL,GV1008 - Toan,GV1056 - Dia,GV1017 - Van,GV1002 - Toan,GV1065 - TD,GV1021 - Van,GV1010 - Toan,GV1007 - Toan,GV1020 - Van,GVNN02 - AVNN,GV1018 - Van,GV1027 - Anh,GV1006 - Toan,GV1068 - Tin,GV1048 - Sinh,GV1066 - QP,GV1047 - Sinh,GV1067 - QP,GV1012 - Van,GV1005 - Toan,GV1015 - Van,GV1004 - Toan,GV1023 - Anh
