Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T3 - AM - Tiet 1,GV1076 - Van,GV1008 - Toan,GV1022 - Anh,GV1062 - TD,GV1001 - Toan,GV1046 - CN,GV1057 - Dia,GV1002 - Toan,GV1032 - Ly,GVNN01 - AVNN,GVNN02 - AVNN,GV1018 - Van,GV1060 - GDCD,GV1050 - Su,GV1015 - Van,GV1006 - Toan,GV1031 - Anh,GV1044 - Hoa,GV1020 - Van,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1025 - Anh,GV1004 - Toan,GV1056 - Dia,GV1051 - Su,GV1035 - Ly,GV1067 - QP,GV1003 - Toan,GV1005 - Toan,GV1048 - Sinh,GV1038 - Ly,GV1043 - Hoa
T3 - AM - Tiet 2,GV1039 - Hoa,GV1016 - Van,GV1062 - TD,GV1058 - Dia,GV1057 - Dia,GV1036 - Ly,GV1071 - Tin,GV1041 - Hoa,GV1011 - Van,GV1019 - Van,GV1013 - Van,GV1004 - Toan,GV1017 - Van,GV1002 - Toan,GV1015 - Van,GV1056 - Dia,GV1060 - GDCD,GV1044 - Hoa,GV1009 - Toan,GV1034 - Ly,GV1061 - GDCD,GV1048 - Sinh,GV1068 - Tin,GV1064 - TD,GV1066 - QP,GV1042 - Hoa,GV1051 - Su,GV1007 - Toan,GV1025 - Anh,GV1059 - GDCD,GV1067 - QP,GV1038 - Ly,GV1012 - Van
T3 - AM - Tiet 3,GV1057 - Dia,GV1054 - Su,GV1062 - TD,GV1069 - Tin,,GV1036 - Ly,GV1032 - Ly,GV1071 - Tin,GV1011 - Van,GVNN01 - AVNN,GV1008 - Toan,GV1030 - Anh,GV1050 - Su,GV1020 - Van,GV1015 - Van,GV1025 - Anh,GV1017 - Van,GV1016 - Van,GV1041 - Hoa,GV1034 - Ly,GV1009 - Toan,GV1027 - Anh,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1019 - Van,GV1039 - Hoa,GV1064 - TD,GV1012 - Van,GV1067 - QP,GV1042 - Hoa,GV1040 - Hoa,GV1001 - Toan
T3 - AM - Tiet 4,,GV1041 - Hoa,GV1033 - Ly,GVNN01 - AVNN,GV1001 - Toan,GV1044 - Hoa,GV1024 - Anh,GV1021 - Van,GV1058 - Dia,GV1039 - Hoa,GV1028 - Anh,GV1030 - Anh,GV1005 - Toan,GV1035 - Ly,GV1010 - Toan,GV1006 - Toan,GV1017 - Van,GVNN03 - AVNN,GV1053 - Su,GV1031 - Anh,GV1063 - TD,GV1007 - Toan,GV1045 - Sinh,GV1004 - Toan,GV1038 - Ly,GV1042 - Hoa,GV1068 - Tin,GV1067 - QP,GV1047 - Sinh,GV1065 - TD,GV1029 - Anh,GV1011 - Van,GV1023 - Anh
T3 - AM - Tiet 5,GV1003 - Toan,GV1016 - Van,GV1022 - Anh,GV1069 - Tin,GV1043 - SHL,GV1011 - Van,GV1044 - Hoa,GV1030 - Anh,,GV1064 - TD,GV1066 - QP,GV1054 - Su,GV1005 - Toan,GVNN02 - AVNN,GV1037 - Ly,GV1006 - Toan,GV1010 - Toan,GV1034 - Ly,GV1041 - Hoa,GV1031 - Anh,GVNN03 - AVNN,GV1077 - Ly,GV1050 - Su,GV1018 - Van,GV1068 - Tin,GV1045 - Sinh,GV1047 - Sinh,GV1007 - Toan,GV1042 - Hoa,GV1067 - QP,GV1032 - CN,GV1004 - Toan,GV1012 - Van
T3 - PM - Tiet 1,,GV1031 - Anh,GV1003 - Toan,GV1046 - CN,GV1069 - Tin,,GV1010 - Toan,GV1071 - Tin,GV1011 - Van,GV1019 - Van,GV1008 - Toan,GV1004 - Toan,GV1065 - TD,GV1041 - Hoa,GV1015 - Van,GV1021 - Van,GV1038 - Ly,GV1030 - Anh,GV1024 - Anh,GV1060 - GDCD,GV1018 - Van,GV1013 - Van,GV1016 - Van,GV1066 - QP,GV1007 - Toan,GV1051 - Su,GV1035 - Ly,GV1022 - Anh,GV1033 - Ly,GV1028 - Anh,GV1067 - QP,GV1040 - Hoa,GV1063 - TD
T3 - PM - Tiet 2,,GVNN02 - AVNN,GV1017 - Van,,GV1067 - QP,GV1002 - Toan,GV1010 - Toan,GV1057 - Dia,GV1059 - GDCD,GV1049 - Sinh,GV1028 - Anh,GV1037 - Ly,GV1040 - Hoa,GV1027 - Anh,GV1015 - Van,GV1047 - SHL,GV1065 - TD,GV1007 - Toan,GV1060 - GDCD,GV1021 - Van,GV1044 - Hoa,GV1013 - Van,GV1016 - Van,GV1066 - QP,GV1051 - Su,GV1001 - Toan,GV1005 - Toan,GV1022 - Anh,GV1003 - Toan,GV1019 - Van,GV1029 - Anh,GV1004 - Toan,GV1012 - Van
T3 - PM - Tiet 3,GV1076 - Van,GV1046 - Sinh,GV1067 - QP,GV1033 - Ly,GV1057 - Dia,GV1002 - Toan,GV1020 - Van,GV1034 - Ly,GV1011 - Van,GV1030 - Anh,GV1013 - Van,GV1018 - Van,GV1026 - Anh,GV1027 - Anh,GV1010 - Toan,GV1042 - Hoa,GV1031 - Anh,GV1066 - QP,GV1009 - Toan,GV1021 - Van,GV1035 - Ly,GV1007 - Toan,GV1016 - Van,GV1004 - Toan,GV1038 - Ly,GV1001 - Toan,GV1068 - Tin,GV1045 - Sinh,GV1003 - Toan,GV1005 - Toan,GV1015 - Van,GV1056 - Dia,GV1043 - Hoa
T3 - PM - Tiet 4,GV1057 - Dia,GV1008 - Toan,GVNN03 - AVNN,GV1023 - Anh,GV1001 - Toan,GV1027 - Anh,GV1046 - CN,GV1002 - Toan,GV1011 - Van,,GV1060 - GDCD,GV1042 - Hoa,GV1005 - Toan,GV1047 - Sinh,GV1044 - Hoa,GV1021 - Van,GV1010 - Toan,GV1016 - Van,GV1009 - Toan,GVNN02 - AVNN,GV1018 - Van,GV1007 - Toan,GV1006 - Toan,GV1004 - Toan,GV1029 - Anh,GV1066 - QP,GV1028 - Anh,GV1032 - Ly,GV1067 - QP,GV1045 - Sinh,GV1003 - Toan,GV1071 - Tin,GV1037 - CN
T3 - PM - Tiet 5,GV1069 - Tin,GV1034 - SHL,GV1033 - Ly,GV1067 - QP,GV1043 - Hoa,GV1071 - Tin,,GV1002 - Toan,GV1044 - Hoa,GV1019 - Van,GV1013 - Van,GV1047 - Sinh,GV1073 - CN,GV1020 - Van,GVNN03 - AVNN,GV1021 - Van,GV1010 - Toan,GV1007 - Toan,GV1009 - Toan,GV1006 - Toan,GV1018 - Van,GV1056 - Dia,GV1077 - Ly,GV1066 - QP,GV1029 - Anh,GV1037 - CN,GV1005 - Toan,GV1032 - Ly,GV1012 - Van,GV1052 - Su,GV1003 - Toan,GV1004 - Toan,GV1001 - Toan
T4 - AM - Tiet 1,GVNN01 - AVNN,GV1058 - Dia,GV1043 - Hoa,GV1009 - Toan,,GV1027 - Anh,GV1024 - Anh,GV1059 - GDCD,GV1064 - TD,GV1071 - Tin,GV1074 - Tin,GV1042 - Hoa,GV1038 - Ly,GV1020 - Van,GV1015 - Van,GV1021 - Van,GV1010 - Toan,GV1016 - Van,GV1066 - QP,GV1034 - Ly,GV1035 - Ly,GV1063 - TD,GV1006 - Toan,GV1033 - Ly,GV1051 - Su,GV1019 - Van,GV1056 - Dia,GV1007 - Toan,GV1065 - TD,GV1005 - Toan,GV1003 - Toan,GV1047 - Sinh,GV1012 - Van
T4 - AM - Tiet 2,GV1076 - Van,GV1031 - Anh,,GV1039 - Hoa,,GV1002 - Toan,GV1064 - TD,GV1071 - Tin,GV1044 - Hoa,GV1046 - CN,GV1013 - Van,GV1004 - Toan,GV1005 - Toan,GV1041 - Hoa,GV1010 - Toan,GV1021 - Van,GV1056 - Dia,GV1007 - Toan,GV1009 - Toan,GV1006 - Toan,GV1026 - Anh,GV1073 - CN,GV1077 - Ly,GV1033 - Ly,GV1038 - CN,GV1025 - Anh,GV1015 - Van,GV1018 - Van,GV1042 - Hoa,GV1067 - QP,GV1003 - Toan,GV1011 - Van,GV1052 - Su
T4 - AM - Tiet 3,GV1024 - Anh,GV1069 - Tin,GV1003 - Toan,GV1058 - Dia,GV1012 - Van,GV1027 - Anh,GV1020 - Van,GV1021 - Van,GV1026 - Anh,GV1039 - Hoa,GV1050 - Su,GVNN03 - AVNN,GV1005 - Toan,GV1066 - QP,GV1010 - Toan,GV1006 - Toan,GV1017 - Van,GV1007 - Toan,GV1009 - Toan,GV1056 - Dia,GV1063 - TD,GV1013 - Van,GV1041 - Hoa,GV1004 - Toan,GV1064 - TD,GV1037 - Ly,GV1067 - QP,GV1018 - Van,GV1060 - GDCD,GV1028 - Anh,GV1032 - Ly,GV1022 - Anh,GV1052 - Su
